S.No.,No. of threads,Time (ns) - 1st iteration,Time (ns) - 2nd iteration,Time (ns) - 3rd iteration,Avg. Time (ns)
174,175,0.064787427,0.061865641,0.077811489,0.0681548523333333
175,176,0.069549257,0.116663031,0.10792618,0.098046156
176,177,0.112576996,0.074437532,0.082156185,0.089723571
177,178,0.09826375,0.070268683,0.097275622,0.088602685
178,179,0.10949653,0.077988242,0.076750341,0.088078371
179,180,0.122509344,0.101168309,0.090910444,0.104862699
180,181,0.076411903,0.063723658,0.109412231,0.0831825973333333
181,182,0.107948889,0.069181859,0.070191597,0.0824407816666667
182,183,0.055207551,0.083055646,0.105375347,0.081212848
183,184,0.062636455,0.091069033,0.074702799,0.0761360956666667
184,185,0.093013786,0.078491763,0.108313801,0.0932731166666667
185,186,0.119931605,0.122193982,0.115932182,0.119352589666667
186,187,0.072686265,0.08112106,0.060009493,0.0712722726666667
187,188,0.085989127,0.125555033,0.09906514,0.103536433333333
188,189,0.115859134,0.086075332,0.118205067,0.106713177666667
189,190,0.110809109,0.100464534,0.104331578,0.105201740333333
190,191,0.081851582,0.080419121,0.094834362,0.0857016883333334
191,192,0.103841151,0.058737976,0.11116865,0.091249259
192,193,0.105858854,0.101491242,0.135633324,0.114327806666667
193,194,0.052639819,0.043750118,0.071022844,0.0558042603333333
194,195,0.070282312,0.082421229,0.07810659,0.0769367103333333
195,196,0.095997442,0.083374427,0.077149045,0.0855069713333333
196,197,0.086295263,0.09763633,0.084166294,0.0893659623333333
197,198,0.085595957,0.107716434,0.054447516,0.0825866356666667
198,199,0.146556602,0.078835782,0.098229224,0.107873869333333
199,200,0.076160297,0.090132283,0.060372941,0.0755551736666667
200,201,0.068195864,0.075577672,0.125226984,0.08966684
201,202,0.092931297,0.057828909,0.12753647,0.0927655586666667
202,203,0.084328563,0.07315873,0.088283919,0.0819237373333333
203,204,0.086841253,0.095349493,0.090573989,0.0909215783333333
204,205,0.062323887,0.054243988,0.123837468,0.0801351143333333
205,206,0.087291794,0.066689321,0.108460315,0.0874804766666667
206,207,0.127996339,0.095181488,0.129318479,0.117498768666667
207,208,0.070379957,0.084919039,0.124471573,0.0932568563333334
208,209,0.075353081,0.08724584,0.071732594,0.078110505
209,210,0.107795383,0.0963333,0.107128515,0.103752399333333
210,211,0.088853556,0.065921363,0.122014016,0.0922629783333333
211,212,0.092974165,0.139935666,0.090032668,0.107647499666667
212,213,0.071365344,0.050377595,0.088865377,0.070202772
213,214,0.110911349,0.115335444,0.099542016,0.108596269666667
214,215,0.078548184,0.107739497,0.116684333,0.100990671333333
215,216,0.073334788,0.120137271,0.102957561,0.0988098733333333
216,217,0.071298724,0.131354694,0.112367299,0.105006905666667
217,218,0.065193145,0.091787365,0.088062864,0.0816811246666667
218,219,0.062076117,0.09165061,0.073928772,0.0758851663333333
219,220,0.085199689,0.10750335,0.070490705,0.087731248
220,221,0.09132628,0.062999839,0.07756478,0.0772969663333333
221,222,0.053967334,0.13855665,0.066701708,0.086408564
222,223,0.049105118,0.102595354,0.079759944,0.077153472
223,224,0.092270575,0.100420905,0.105680449,0.0994573096666667
224,225,0.074353225,0.06097697,0.097171652,0.0775006156666667
225,226,0.079144343,0.076036462,0.090663386,0.0819480636666667
226,227,0.132592259,0.091792545,0.106148425,0.110177743
